ra, dec, mv, Mv, label
315.7342,-0.6797,0.01,4.45, G
162.5885,4.5664,0.08,-0.51,G
111.3302,-80.6811,2.01,-0.34, G
297.8739,39.3075,2.64,-0.51,G
5.2885,73.0303,2.68,2.38,G
92.5845,40.9510,2.74,0.5,G
39.0077,40.2129,2.77,-0.53,G
79.5789,33.3103,2.81,-2.47,G
289.2719,27.4063,4.28,3.48,G
52.6607,40.2893,2.800,2.68,G
312.3250,73.6347,2.79,0.37,G
223.5612,-27.2013,2.84,-0.64,G
48.0228,-37.8791,2.89,-3.47,G
142.0675,-4.3368,2.93,-1.58,G
92.4957,-24.9536,2.95,-1.19,G
59.9287,-42.0660,2.94,-3.88,G
206.8169,48.2044,2.98,-1.48,G
311.0986,39.2640,3,-0.09,G
189.5360,9.6291,2.98,-4.16,G
98.6539,22.9944,3.07,0.61,G
222.3428,30.1986,3.10,-0.22,G
76.7538,-12.4523,3.21,-0.13,G
8.5659,-30.8098,3.23,0.61,G
206.4522,-16.5852,1.79,-5.15,O
203.8559,-17.7397,2.41,-4.84,O
255.9759,-4.7056,2.25,-5.96,O
6.2812,23.5877,2.56,-3.24,O
209.5221,-19.5835,2.77,-5.30,O
195.0519,-11.9951,3.66,-4.05,O
160.3723,-13.1065,4.06,-4.73,O
206.8163,-17.3360,3.79,-3.75,O
144.0656,14.0424,4.29,-7.39,O
238.1809,-5.5429,4.40,-5.11,O
46.6509,16.9833,4.88,-2.71,O
237.8244,-5.3679,4.95,-5.11,O
319.6882,-2.9112,5.09,-6.46,O
103.8279,2.6108,5.05,-3.47,O
104.8706,5.3906,5.11,-6.06,O
102.0051,2.1834,5.542,-5.22,O
6.0089,-1.2049,5.97,-5.05,O
56.4825,-4.3314,6.23,-6.99,O
202.9363,2.1984,4.640,0.32,O
