(34, 'green emissions,', 66, 'red emissions')
(28, 'green emissions,', 71, 'red emissions')
(39, 'green emissions,', 61, 'red emissions')
(31, 'green emissions,', 69, 'red emissions')
(25, 'green emissions,', 75, 'red emissions')
(22, 'green emissions,', 76, 'red emissions')
(26, 'green emissions,', 73, 'red emissions')
(26, 'green emissions,', 74, 'red emissions')
(34, 'green emissions,', 64, 'red emissions')
(41, 'green emissions,', 57, 'red emissions')
(32, 'green emissions,', 67, 'red emissions')
(26, 'green emissions,', 74, 'red emissions')
(42, 'green emissions,', 58, 'red emissions')
(31, 'green emissions,', 68, 'red emissions')
(27, 'green emissions,', 72, 'red emissions')
(35, 'green emissions,', 64, 'red emissions')
(33, 'green emissions,', 67, 'red emissions')
(33, 'green emissions,', 67, 'red emissions')
(25, 'green emissions,', 75, 'red emissions')
(24, 'green emissions,', 75, 'red emissions')
(29, 'green emissions,', 71, 'red emissions')
(28, 'green emissions,', 71, 'red emissions')
(28, 'green emissions,', 72, 'red emissions')
(24, 'green emissions,', 75, 'red emissions')
(32, 'green emissions,', 68, 'red emissions')
(25, 'green emissions,', 74, 'red emissions')
(32, 'green emissions,', 68, 'red emissions')
(34, 'green emissions,', 66, 'red emissions')
(26, 'green emissions,', 73, 'red emissions')
(31, 'green emissions,', 69, 'red emissions')
